,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
1637,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Not stated,13.6
1638,Persons aged 15-89 years in Employment,2005Q3,Male,All NACE economic sectors,1196.9
1639,Persons aged 15-89 years in Employment,2005Q3,Male,"Agriculture, forestry and fishing (A)",101.9
1640,Persons aged 15-89 years in Employment,2005Q3,Male,Construction (F),198.6
1641,Persons aged 15-89 years in Employment,2005Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",145.7
1642,Persons aged 15-89 years in Employment,2005Q3,Male,Transportation and storage (H),76.2
1643,Persons aged 15-89 years in Employment,2005Q3,Male,Accommodation and food service activities (I),56.5
1644,Persons aged 15-89 years in Employment,2005Q3,Male,Information and communication (J),53.7
1645,Persons aged 15-89 years in Employment,2005Q3,Male,"Professional, scientific and technical activities (M)",67.5
1646,Persons aged 15-89 years in Employment,2005Q3,Male,Administrative and support service activities (N),47.4
1647,Persons aged 15-89 years in Employment,2005Q3,Male,"Public administration and defence, compulsory social security (O)",50.5
1648,Persons aged 15-89 years in Employment,2005Q3,Male,Education (P),35.9
1649,Persons aged 15-89 years in Employment,2005Q3,Male,Human health and social work activities (Q),38.2
1650,Persons aged 15-89 years in Employment,2005Q3,Male,Industry (B to E),225.2
1651,Persons aged 15-89 years in Employment,2005Q3,Male,Industry and Construction (B to F),423.8
1652,Persons aged 15-89 years in Employment,2005Q3,Male,Services (G to U),661.1
1653,Persons aged 15-89 years in Employment,2005Q3,Male,"Financial, insurance and real estate activities (K,L)",45.7
1654,Persons aged 15-89 years in Employment,2005Q3,Male,Other NACE activities (R to U),43.9
1655,Persons aged 15-89 years in Employment,2005Q3,Male,Not stated,10.0
1656,Persons aged 15-89 years in Employment,2005Q3,Female,All NACE economic sectors,876.4
1657,Persons aged 15-89 years in Employment,2005Q3,Female,"Agriculture, forestry and fishing (A)",12.9
1658,Persons aged 15-89 years in Employment,2005Q3,Female,Construction (F),8.4
1659,Persons aged 15-89 years in Employment,2005Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",156.8
1660,Persons aged 15-89 years in Employment,2005Q3,Female,Transportation and storage (H),16.4
1661,Persons aged 15-89 years in Employment,2005Q3,Female,Accommodation and food service activities (I),66.1
1662,Persons aged 15-89 years in Employment,2005Q3,Female,Information and communication (J),30.1
1663,Persons aged 15-89 years in Employment,2005Q3,Female,"Professional, scientific and technical activities (M)",45.1
1664,Persons aged 15-89 years in Employment,2005Q3,Female,Administrative and support service activities (N),39.3
1665,Persons aged 15-89 years in Employment,2005Q3,Female,"Public administration and defence, compulsory social security (O)",45.8
1666,Persons aged 15-89 years in Employment,2005Q3,Female,Education (P),85.4
1667,Persons aged 15-89 years in Employment,2005Q3,Female,Human health and social work activities (Q),165.8
1668,Persons aged 15-89 years in Employment,2005Q3,Female,Industry (B to E),88.4
1669,Persons aged 15-89 years in Employment,2005Q3,Female,Industry and Construction (B to F),96.7
1670,Persons aged 15-89 years in Employment,2005Q3,Female,Services (G to U),763.2
1671,Persons aged 15-89 years in Employment,2005Q3,Female,"Financial, insurance and real estate activities (K,L)",54.9
1672,Persons aged 15-89 years in Employment,2005Q3,Female,Other NACE activities (R to U),57.6
1673,Persons aged 15-89 years in Employment,2005Q3,Female,Not stated,3.6
1674,Persons aged 15-89 years in Employment,2005Q4,Both sexes,All NACE economic sectors,2070.0
1675,Persons aged 15-89 years in Employment,2005Q4,Both sexes,"Agriculture, forestry and fishing (A)",109.4
1676,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Construction (F),210.0
1677,Persons aged 15-89 years in Employment,2005Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",300.6
1678,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Transportation and storage (H),91.4
1679,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Accommodation and food service activities (I),121.0
1680,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Information and communication (J),84.9
1681,Persons aged 15-89 years in Employment,2005Q4,Both sexes,"Professional, scientific and technical activities (M)",114.3
1682,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Administrative and support service activities (N),84.7
1683,Persons aged 15-89 years in Employment,2005Q4,Both sexes,"Public administration and defence, compulsory social security (O)",98.4
1684,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Education (P),131.1
1685,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Human health and social work activities (Q),205.3
1686,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Industry (B to E),308.0
1687,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Industry and Construction (B to F),518.0
1688,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Services (G to U),1432.0
1689,Persons aged 15-89 years in Employment,2005Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",98.8
1690,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Other NACE activities (R to U),101.5
1691,Persons aged 15-89 years in Employment,2005Q4,Both sexes,Not stated,10.6
1692,Persons aged 15-89 years in Employment,2005Q4,Male,All NACE economic sectors,1194.2
1693,Persons aged 15-89 years in Employment,2005Q4,Male,"Agriculture, forestry and fishing (A)",97.9
1694,Persons aged 15-89 years in Employment,2005Q4,Male,Construction (F),201.9
1695,Persons aged 15-89 years in Employment,2005Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.7
1696,Persons aged 15-89 years in Employment,2005Q4,Male,Transportation and storage (H),75.3
1697,Persons aged 15-89 years in Employment,2005Q4,Male,Accommodation and food service activities (I),56.6
1698,Persons aged 15-89 years in Employment,2005Q4,Male,Information and communication (J),56.3
1699,Persons aged 15-89 years in Employment,2005Q4,Male,"Professional, scientific and technical activities (M)",68.5
1700,Persons aged 15-89 years in Employment,2005Q4,Male,Administrative and support service activities (N),46.1
1701,Persons aged 15-89 years in Employment,2005Q4,Male,"Public administration and defence, compulsory social security (O)",51.0
1702,Persons aged 15-89 years in Employment,2005Q4,Male,Education (P),37.3
1703,Persons aged 15-89 years in Employment,2005Q4,Male,Human health and social work activities (Q),40.0
1704,Persons aged 15-89 years in Employment,2005Q4,Male,Industry (B to E),220.9
1705,Persons aged 15-89 years in Employment,2005Q4,Male,Industry and Construction (B to F),422.8
1706,Persons aged 15-89 years in Employment,2005Q4,Male,Services (G to U),665.6
1707,Persons aged 15-89 years in Employment,2005Q4,Male,"Financial, insurance and real estate activities (K,L)",44.0
1708,Persons aged 15-89 years in Employment,2005Q4,Male,Other NACE activities (R to U),43.7
1709,Persons aged 15-89 years in Employment,2005Q4,Male,Not stated,7.9
1710,Persons aged 15-89 years in Employment,2005Q4,Female,All NACE economic sectors,875.9
1711,Persons aged 15-89 years in Employment,2005Q4,Female,"Agriculture, forestry and fishing (A)",11.5
1712,Persons aged 15-89 years in Employment,2005Q4,Female,Construction (F),8.2
1713,Persons aged 15-89 years in Employment,2005Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",153.9
1714,Persons aged 15-89 years in Employment,2005Q4,Female,Transportation and storage (H),16.1
1715,Persons aged 15-89 years in Employment,2005Q4,Female,Accommodation and food service activities (I),64.5
1716,Persons aged 15-89 years in Employment,2005Q4,Female,Information and communication (J),28.6
1717,Persons aged 15-89 years in Employment,2005Q4,Female,"Professional, scientific and technical activities (M)",45.8
1718,Persons aged 15-89 years in Employment,2005Q4,Female,Administrative and support service activities (N),38.5
1719,Persons aged 15-89 years in Employment,2005Q4,Female,"Public administration and defence, compulsory social security (O)",47.4
1720,Persons aged 15-89 years in Employment,2005Q4,Female,Education (P),93.8
1721,Persons aged 15-89 years in Employment,2005Q4,Female,Human health and social work activities (Q),165.2
1722,Persons aged 15-89 years in Employment,2005Q4,Female,Industry (B to E),87.1
1723,Persons aged 15-89 years in Employment,2005Q4,Female,Industry and Construction (B to F),95.3
1724,Persons aged 15-89 years in Employment,2005Q4,Female,Services (G to U),766.5
1725,Persons aged 15-89 years in Employment,2005Q4,Female,"Financial, insurance and real estate activities (K,L)",54.9
1726,Persons aged 15-89 years in Employment,2005Q4,Female,Other NACE activities (R to U),57.8
1727,Persons aged 15-89 years in Employment,2005Q4,Female,Not stated,2.7
1728,Persons aged 15-89 years in Employment,2006Q1,Both sexes,All NACE economic sectors,2082.3
1729,Persons aged 15-89 years in Employment,2006Q1,Both sexes,"Agriculture, forestry and fishing (A)",112.7
1730,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Construction (F),215.3
1731,Persons aged 15-89 years in Employment,2006Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",302.0
1732,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Transportation and storage (H),91.7
1733,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Accommodation and food service activities (I),118.8
1734,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Information and communication (J),86.1
1735,Persons aged 15-89 years in Employment,2006Q1,Both sexes,"Professional, scientific and technical activities (M)",117.3
1736,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Administrative and support service activities (N),88.4
1737,Persons aged 15-89 years in Employment,2006Q1,Both sexes,"Public administration and defence, compulsory social security (O)",98.1
1738,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Education (P),134.8
1739,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Human health and social work activities (Q),207.1
1740,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Industry (B to E),301.8
1741,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Industry and Construction (B to F),517.0
1742,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Services (G to U),1440.0
1743,Persons aged 15-89 years in Employment,2006Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",98.2
1744,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Other NACE activities (R to U),97.3
1745,Persons aged 15-89 years in Employment,2006Q1,Both sexes,Not stated,12.5
1746,Persons aged 15-89 years in Employment,2006Q1,Male,All NACE economic sectors,1203.2
1747,Persons aged 15-89 years in Employment,2006Q1,Male,"Agriculture, forestry and fishing (A)",100.0
1748,Persons aged 15-89 years in Employment,2006Q1,Male,Construction (F),206.2
1749,Persons aged 15-89 years in Employment,2006Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",148.3
1750,Persons aged 15-89 years in Employment,2006Q1,Male,Transportation and storage (H),73.7
1751,Persons aged 15-89 years in Employment,2006Q1,Male,Accommodation and food service activities (I),56.3
1752,Persons aged 15-89 years in Employment,2006Q1,Male,Information and communication (J),57.1
1753,Persons aged 15-89 years in Employment,2006Q1,Male,"Professional, scientific and technical activities (M)",70.2
1754,Persons aged 15-89 years in Employment,2006Q1,Male,Administrative and support service activities (N),48.6
1755,Persons aged 15-89 years in Employment,2006Q1,Male,"Public administration and defence, compulsory social security (O)",51.8
1756,Persons aged 15-89 years in Employment,2006Q1,Male,Education (P),39.1
1757,Persons aged 15-89 years in Employment,2006Q1,Male,Human health and social work activities (Q),39.2
1758,Persons aged 15-89 years in Employment,2006Q1,Male,Industry (B to E),217.1
1759,Persons aged 15-89 years in Employment,2006Q1,Male,Industry and Construction (B to F),423.3
1760,Persons aged 15-89 years in Employment,2006Q1,Male,Services (G to U),670.7
1761,Persons aged 15-89 years in Employment,2006Q1,Male,"Financial, insurance and real estate activities (K,L)",44.6
1762,Persons aged 15-89 years in Employment,2006Q1,Male,Other NACE activities (R to U),41.8
1763,Persons aged 15-89 years in Employment,2006Q1,Male,Not stated,9.2
1764,Persons aged 15-89 years in Employment,2006Q1,Female,All NACE economic sectors,879.1
1765,Persons aged 15-89 years in Employment,2006Q1,Female,"Agriculture, forestry and fishing (A)",12.7
1766,Persons aged 15-89 years in Employment,2006Q1,Female,Construction (F),9.1
1767,Persons aged 15-89 years in Employment,2006Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",153.7
1768,Persons aged 15-89 years in Employment,2006Q1,Female,Transportation and storage (H),18.0
1769,Persons aged 15-89 years in Employment,2006Q1,Female,Accommodation and food service activities (I),62.6
1770,Persons aged 15-89 years in Employment,2006Q1,Female,Information and communication (J),29.1
1771,Persons aged 15-89 years in Employment,2006Q1,Female,"Professional, scientific and technical activities (M)",47.1
1772,Persons aged 15-89 years in Employment,2006Q1,Female,Administrative and support service activities (N),39.7
1773,Persons aged 15-89 years in Employment,2006Q1,Female,"Public administration and defence, compulsory social security (O)",46.4
1774,Persons aged 15-89 years in Employment,2006Q1,Female,Education (P),95.7
1775,Persons aged 15-89 years in Employment,2006Q1,Female,Human health and social work activities (Q),167.9
