Statistic,Quarter,Item,value
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",87736
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",34484
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",43889
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",9364
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",250247
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",239723
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",10523
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Estimated pension liabilities of government,109800
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Net worth, including pension liabilities",-171935
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Contingent liabilities,15955
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"Net worth, including pension liabilities and contingent liabilities",-187890
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,General Government: changes in net worth - Opening net worth,-65056
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to transactions,-1185
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),329
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-1513
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),4106
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,1228
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to other economic flows - Other changes in financial assets,7782
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Change in net worth due to other economic flows - Other changes in liabilities,-4904
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Closing net worth,-62135
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),239723
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,-36128
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),203596
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-34484
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),169112
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-58799
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),101854
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-160653
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",82936
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",36349
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",37630
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8956
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",243588
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",232882
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",10707
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Estimated pension liabilities of government,109800
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Net worth, including pension liabilities",-168599
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Contingent liabilities,15955
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,"Net worth, including pension liabilities and contingent liabilities",-184554
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,General Government: changes in net worth - Opening net worth,-62135
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to transactions,250
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),251
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-1
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),3087
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,1228
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to other economic flows - Other changes in financial assets,-5255
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Change in net worth due to other economic flows - Other changes in liabilities,7114
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Closing net worth,-58798
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),232882
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,-28764
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),204118
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-36349
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),167769
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-58579
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),103217
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-161796
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",83914
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",36572
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",38659
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8683
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",245710
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",234931
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",10780
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Estimated pension liabilities of government,109800
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Net worth, including pension liabilities",-168379
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Contingent liabilities,15955
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,"Net worth, including pension liabilities and contingent liabilities",-184334
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,General Government: changes in net worth - Opening net worth,-58798
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Change in net worth due to transactions,-445
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),135
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-581
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),665
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,1228
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q3,Change in net worth due to other economic flows - Other changes in financial assets,986
