,Statistic,Quarter,Sector,value
4071,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Machinery and Equipment,1677.0
4072,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,606.0
4073,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Intangible Assets,1701.0
4074,Expenditure on GNP at Constant Market Prices,2002Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
4075,Expenditure on GNP at Constant Market Prices,2002Q3,Value of Physical Changes in Stocks,-233.0
4076,Expenditure on GNP at Constant Market Prices,2002Q3,Exports of Goods and Services (excluding Factor Income Flows),34803.0
4077,Expenditure on GNP at Constant Market Prices,2002Q3,Imports of Goods and Services (excluding Factor Income Flows),-30688.0
4078,Expenditure on GNP at Constant Market Prices,2002Q3,Gross Domestic Product at Market Prices,42442.0
4079,Expenditure on GNP at Constant Market Prices,2002Q3,Net Factor Income from the Rest of the World,-6112.0
4080,Expenditure on GNP at Constant Market Prices,2002Q3,Gross National Product at Market Prices,36465.0
4081,Expenditure on GNP at Constant Market Prices,2002Q3,Statistical Discrepancy,
4082,Expenditure on GNP at Constant Market Prices,2002Q3,Export of Goods (excluding Factor Income Flows),19507.0
4083,Expenditure on GNP at Constant Market Prices,2002Q3,Import of Goods (excluding Factor Income Flows),-13392.0
4084,Expenditure on GNP at Constant Market Prices,2002Q3,Export of Services (excluding Factor Income Flows),13242.0
4085,Expenditure on GNP at Constant Market Prices,2002Q3,Import of Services (excluding Factor Income Flows),-16825.0
4086,Expenditure on GNP at Constant Market Prices,2002Q3,Final Domestic Demand,36254.0
4087,Expenditure on GNP at Constant Market Prices,2002Q3,Total Domestic Demand,35704.0
4088,Expenditure on GNP at Constant Market Prices,2002Q4,Personal Expenditure on Consumer Goods and Services,20521.0
4089,Expenditure on GNP at Constant Market Prices,2002Q4,Household & NPISH Final Consumption Expenditure,19775.0
4090,Expenditure on GNP at Constant Market Prices,2002Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7544.0
4091,Expenditure on GNP at Constant Market Prices,2002Q4,General Government Expenditure on Goods & Services provided to Households,5478.0
4092,Expenditure on GNP at Constant Market Prices,2002Q4,General Government Collective Consumption Expenditure,2804.0
4093,Expenditure on GNP at Constant Market Prices,2002Q4,General Government Final Consumption Expenditure,8282.0
4094,Expenditure on GNP at Constant Market Prices,2002Q4,Gross Domestic Fixed Capital Formation,9633.0
4095,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Dwellings,2467.0
4096,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Improvements,824.0
4097,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Other Building and Construction,3254.0
4098,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Transfer Costs,539.0
4099,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Machinery and Equipment,1256.0
4100,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,288.0
4101,Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Intangible Assets,1831.0
4102,Expenditure on GNP at Constant Market Prices,2002Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
4103,Expenditure on GNP at Constant Market Prices,2002Q4,Value of Physical Changes in Stocks,394.0
4104,Expenditure on GNP at Constant Market Prices,2002Q4,Exports of Goods and Services (excluding Factor Income Flows),34618.0
4105,Expenditure on GNP at Constant Market Prices,2002Q4,Imports of Goods and Services (excluding Factor Income Flows),-30748.0
4106,Expenditure on GNP at Constant Market Prices,2002Q4,Gross Domestic Product at Market Prices,43884.0
4107,Expenditure on GNP at Constant Market Prices,2002Q4,Net Factor Income from the Rest of the World,-6564.0
4108,Expenditure on GNP at Constant Market Prices,2002Q4,Gross National Product at Market Prices,37382.0
4109,Expenditure on GNP at Constant Market Prices,2002Q4,Statistical Discrepancy,
4110,Expenditure on GNP at Constant Market Prices,2002Q4,Export of Goods (excluding Factor Income Flows),19055.0
4111,Expenditure on GNP at Constant Market Prices,2002Q4,Import of Goods (excluding Factor Income Flows),-13793.0
4112,Expenditure on GNP at Constant Market Prices,2002Q4,Export of Services (excluding Factor Income Flows),13870.0
4113,Expenditure on GNP at Constant Market Prices,2002Q4,Import of Services (excluding Factor Income Flows),-16298.0
4114,Expenditure on GNP at Constant Market Prices,2002Q4,Final Domestic Demand,37867.0
4115,Expenditure on GNP at Constant Market Prices,2002Q4,Total Domestic Demand,38055.0
4116,Expenditure on GNP at Constant Market Prices,2003Q1,Personal Expenditure on Consumer Goods and Services,19439.0
4117,Expenditure on GNP at Constant Market Prices,2003Q1,Household & NPISH Final Consumption Expenditure,18725.0
4118,Expenditure on GNP at Constant Market Prices,2003Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7037.0
4119,Expenditure on GNP at Constant Market Prices,2003Q1,General Government Expenditure on Goods & Services provided to Households,5161.0
4120,Expenditure on GNP at Constant Market Prices,2003Q1,General Government Collective Consumption Expenditure,2584.0
4121,Expenditure on GNP at Constant Market Prices,2003Q1,General Government Final Consumption Expenditure,7744.0
4122,Expenditure on GNP at Constant Market Prices,2003Q1,Gross Domestic Fixed Capital Formation,9965.0
4123,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Dwellings,2347.0
4124,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Improvements,794.0
4125,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Other Building and Construction,2656.0
4126,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Transfer Costs,685.0
4127,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Machinery and Equipment,2188.0
4128,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,422.0
4129,Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Intangible Assets,1396.0
4130,Expenditure on GNP at Constant Market Prices,2003Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
4131,Expenditure on GNP at Constant Market Prices,2003Q1,Value of Physical Changes in Stocks,280.0
4132,Expenditure on GNP at Constant Market Prices,2003Q1,Exports of Goods and Services (excluding Factor Income Flows),32178.0
4133,Expenditure on GNP at Constant Market Prices,2003Q1,Imports of Goods and Services (excluding Factor Income Flows),-29588.0
4134,Expenditure on GNP at Constant Market Prices,2003Q1,Gross Domestic Product at Market Prices,42010.0
4135,Expenditure on GNP at Constant Market Prices,2003Q1,Net Factor Income from the Rest of the World,-6047.0
4136,Expenditure on GNP at Constant Market Prices,2003Q1,Gross National Product at Market Prices,36082.0
4137,Expenditure on GNP at Constant Market Prices,2003Q1,Statistical Discrepancy,
4138,Expenditure on GNP at Constant Market Prices,2003Q1,Export of Goods (excluding Factor Income Flows),17185.0
4139,Expenditure on GNP at Constant Market Prices,2003Q1,Import of Goods (excluding Factor Income Flows),-13130.0
4140,Expenditure on GNP at Constant Market Prices,2003Q1,Export of Services (excluding Factor Income Flows),13809.0
4141,Expenditure on GNP at Constant Market Prices,2003Q1,Import of Services (excluding Factor Income Flows),-15853.0
4142,Expenditure on GNP at Constant Market Prices,2003Q1,Final Domestic Demand,36668.0
4143,Expenditure on GNP at Constant Market Prices,2003Q1,Total Domestic Demand,36747.0
4144,Expenditure on GNP at Constant Market Prices,2003Q2,Personal Expenditure on Consumer Goods and Services,19422.0
4145,Expenditure on GNP at Constant Market Prices,2003Q2,Household & NPISH Final Consumption Expenditure,18709.0
4146,Expenditure on GNP at Constant Market Prices,2003Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7020.0
4147,Expenditure on GNP at Constant Market Prices,2003Q2,General Government Expenditure on Goods & Services provided to Households,5148.0
4148,Expenditure on GNP at Constant Market Prices,2003Q2,General Government Collective Consumption Expenditure,2578.0
4149,Expenditure on GNP at Constant Market Prices,2003Q2,General Government Final Consumption Expenditure,7726.0
4150,Expenditure on GNP at Constant Market Prices,2003Q2,Gross Domestic Fixed Capital Formation,9509.0
4151,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Dwellings,2501.0
4152,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Improvements,721.0
4153,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Other Building and Construction,2613.0
4154,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Transfer Costs,473.0
4155,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Machinery and Equipment,1927.0
4156,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,197.0
4157,Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Intangible Assets,1365.0
4158,Expenditure on GNP at Constant Market Prices,2003Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
4159,Expenditure on GNP at Constant Market Prices,2003Q2,Value of Physical Changes in Stocks,600.0
4160,Expenditure on GNP at Constant Market Prices,2003Q2,Exports of Goods and Services (excluding Factor Income Flows),33722.0
4161,Expenditure on GNP at Constant Market Prices,2003Q2,Imports of Goods and Services (excluding Factor Income Flows),-29850.0
4162,Expenditure on GNP at Constant Market Prices,2003Q2,Gross Domestic Product at Market Prices,43071.0
4163,Expenditure on GNP at Constant Market Prices,2003Q2,Net Factor Income from the Rest of the World,-5980.0
4164,Expenditure on GNP at Constant Market Prices,2003Q2,Gross National Product at Market Prices,37263.0
4165,Expenditure on GNP at Constant Market Prices,2003Q2,Statistical Discrepancy,
4166,Expenditure on GNP at Constant Market Prices,2003Q2,Export of Goods (excluding Factor Income Flows),17998.0
4167,Expenditure on GNP at Constant Market Prices,2003Q2,Import of Goods (excluding Factor Income Flows),-12528.0
4168,Expenditure on GNP at Constant Market Prices,2003Q2,Export of Services (excluding Factor Income Flows),14494.0
4169,Expenditure on GNP at Constant Market Prices,2003Q2,Import of Services (excluding Factor Income Flows),-16964.0
4170,Expenditure on GNP at Constant Market Prices,2003Q2,Final Domestic Demand,36153.0
4171,Expenditure on GNP at Constant Market Prices,2003Q2,Total Domestic Demand,36665.0
4172,Expenditure on GNP at Constant Market Prices,2003Q3,Personal Expenditure on Consumer Goods and Services,19523.0
4173,Expenditure on GNP at Constant Market Prices,2003Q3,Household & NPISH Final Consumption Expenditure,18806.0
4174,Expenditure on GNP at Constant Market Prices,2003Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7323.0
4175,Expenditure on GNP at Constant Market Prices,2003Q3,General Government Expenditure on Goods & Services provided to Households,5353.0
4176,Expenditure on GNP at Constant Market Prices,2003Q3,General Government Collective Consumption Expenditure,2680.0
4177,Expenditure on GNP at Constant Market Prices,2003Q3,General Government Final Consumption Expenditure,8033.0
4178,Expenditure on GNP at Constant Market Prices,2003Q3,Gross Domestic Fixed Capital Formation,10187.0
4179,Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Dwellings,2972.0
4180,Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Improvements,723.0
4181,Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Other Building and Construction,2825.0
4182,Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Transfer Costs,618.0
4183,Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Machinery and Equipment,1711.0
4184,Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,260.0
