,Statistic,Quarter,Item,value
709,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),222.0
710,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),51.0
711,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),435.0
712,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - ESA2010 Code (TE),13943.0
713,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),13355.0
714,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4191.0
715,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1967.0
716,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752.0
717,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),435.0
718,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),445.0
719,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4529.0
720,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),694.0
721,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),342.0
722,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net operating balance - ESA2010 Code  (NOB),644.0
723,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),587.0
724,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government Surplus/Deficit - ESA2010 Code (B9),57.0
725,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets,
726,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
727,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
728,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
729,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net incurrence of liabilities,
730,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
731,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
732,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,Memo: Net derivative flows on debt interest swap contracts,
733,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15293.0
734,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),14149.0
735,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),1145.0
736,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - ESA2010 Code (TR),18485.0
737,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),16772.0
738,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),14583.0
739,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189.0
740,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),964.0
741,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),192.0
742,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),149.0
743,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),408.0
744,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - ESA2010 Code (TE),16421.0
745,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),14415.0
746,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4654.0
747,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2086.0
748,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752.0
749,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),436.0
750,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),561.0
751,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4579.0
752,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),875.0
753,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),472.0
754,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net operating balance - ESA2010 Code  (NOB),4070.0
755,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),2006.0
756,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government Surplus/Deficit - ESA2010 Code (B9),2064.0
757,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets,
758,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
759,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
760,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
761,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net incurrence of liabilities,
762,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
763,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
764,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,Memo: Net derivative flows on debt interest swap contracts,
765,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),15456.0
766,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),14749.0
767,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),707.0
768,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - ESA2010 Code (TR),15585.0
769,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14027.0
770,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11613.0
771,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2414.0
772,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),691.0
773,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),239.0
774,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),21.0
775,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2006Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),607.0
